Filename,Metodo,k,Tiempo
test2.png,DisjointSet con Arreglo,4000,8251.44
test1.jpg,DisjointSet con arbol,4000,11.2505
test2.png,DisjointSet con arbol,4000,10.5682
test1.jpg,DisjointSet con arbol y Path Compression,4000,14.5774
test2.png,DisjointSet con arbol y Path Compression,4000,14.2113
test1.jpg,DisjointSet con Arreglo,4500,8246.54
test2.png,DisjointSet con Arreglo,4500,8283.71
test1.jpg,DisjointSet con arbol,4500,11.2393
test2.png,DisjointSet con arbol,4500,14.5126
test1.jpg,DisjointSet con arbol y Path Compression,4500,14.6033
test2.png,DisjointSet con arbol y Path Compression,4500,14.3009
test1.jpg,DisjointSet con Arreglo,5000,8254.67
test2.png,DisjointSet con Arreglo,5000,8275.39
test1.jpg,DisjointSet con arbol,5000,11.2117
test2.png,DisjointSet con arbol,5000,10.456
test1.jpg,DisjointSet con arbol y Path Compression,5000,14.5842
test2.png,DisjointSet con arbol y Path Compression,5000,14.2089
test1.jpg,DisjointSet con Arreglo,5500,8272.66
test2.png,DisjointSet con Arreglo,5500,8289.75
test1.jpg,DisjointSet con arbol,5500,11.2198
test2.png,DisjointSet con arbol,5500,10.4427
test1.jpg,DisjointSet con arbol y Path Compression,5500,14.4864
test2.png,DisjointSet con arbol y Path Compression,5500,14.1163
test1.jpg,DisjointSet con Arreglo,6000,8326.37
test2.png,DisjointSet con Arreglo,6000,8281.98
test1.jpg,DisjointSet con arbol,6000,11.8619
test2.png,DisjointSet con arbol,6000,11.6397
test1.jpg,DisjointSet con arbol y Path Compression,6000,15.2463
test2.png,DisjointSet con arbol y Path Compression,6000,14.1379
test1.jpg,DisjointSet con Arreglo,500,8301.44
test2.png,DisjointSet con Arreglo,500,8267.16
test1.jpg,DisjointSet con arbol,500,11.2825
test2.png,DisjointSet con arbol,500,10.4372
test1.jpg,DisjointSet con arbol y Path Compression,500,14.6162
test2.png,DisjointSet con arbol y Path Compression,500,14.1765
test1.jpg,DisjointSet con Arreglo,1000,8234.67
test2.png,DisjointSet con Arreglo,1000,8271.1
test1.jpg,DisjointSet con arbol,1000,11.2676
test2.png,DisjointSet con arbol,1000,10.5487
test1.jpg,DisjointSet con arbol y Path Compression,1000,14.5563
test2.png,DisjointSet con arbol y Path Compression,1000,14.0349
test1.jpg,DisjointSet con Arreglo,1500,8278.76
