Filename,n,m,Metodo,Tiempo
exp_random_4nodos_5ejes.txt,4,5,Dijkstra con cola de prioridad,21.031
exp_random_4nodos_5ejes.txt,4,5,Bellman-Ford,111.217
exp_random_4nodos_5ejes.txt,4,5,Floyd-Warshall,52.6212
exp_random_4nodos_5ejes.txt,4,5,Dijkstra,5037.08
exp_random_4nodos_5ejes.txt,4,5,Dijkstra con cola de prioridad,21.4959
exp_random_4nodos_5ejes.txt,4,5,Bellman-Ford,114.034
exp_random_4nodos_5ejes.txt,4,5,Floyd-Warshall,52.5336
exp_random_4nodos_5ejes.txt,4,5,Dijkstra,5311.81
exp_random_4nodos_5ejes.txt,4,5,Dijkstra con cola de prioridad,21.5017
exp_random_4nodos_5ejes.txt,4,5,Bellman-Ford,123.719
exp_random_4nodos_5ejes.txt,4,5,Floyd-Warshall,50.9495
exp_random_4nodos_5ejes.txt,4,5,Dijkstra,5456.38
exp_random_4nodos_5ejes.txt,4,5,Dijkstra con cola de prioridad,22.6975
exp_random_4nodos_5ejes.txt,4,5,Bellman-Ford,109.278
exp_random_4nodos_5ejes.txt,4,5,Floyd-Warshall,49.8997
exp_random_4nodos_5ejes.txt,4,5,Dijkstra,5735.77
exp_random_4nodos_5ejes.txt,4,5,Dijkstra con cola de prioridad,20.5672
exp_random_4nodos_5ejes.txt,4,5,Bellman-Ford,110.842
exp_random_4nodos_5ejes.txt,4,5,Floyd-Warshall,50.683
exp_random_4nodos_5ejes.txt,4,5,Dijkstra,5756.22
exp_random_4nodos_5ejes.txt,4,5,Dijkstra con cola de prioridad,20.6779
exp_random_4nodos_5ejes.txt,4,5,Bellman-Ford,120.185
exp_random_4nodos_5ejes.txt,4,5,Floyd-Warshall,50.0494
exp_random_5nodos_10ejes.txt,5,10,Dijkstra con cola de prioridad,51.0113
exp_random_5nodos_10ejes.txt,5,10,Bellman-Ford,293.136
exp_random_5nodos_10ejes.txt,5,10,Floyd-Warshall,107.886
exp_random_5nodos_10ejes.txt,5,10,Dijkstra con cola de prioridad,44.4305
exp_random_5nodos_10ejes.txt,5,10,Bellman-Ford,344.099
exp_random_5nodos_10ejes.txt,5,10,Floyd-Warshall,122.815
exp_random_5nodos_10ejes.txt,5,10,Dijkstra con cola de prioridad,59.0156
exp_random_5nodos_10ejes.txt,5,10,Bellman-Ford,361.582
exp_random_5nodos_10ejes.txt,5,10,Floyd-Warshall,127.92
exp_random_5nodos_10ejes.txt,5,10,Dijkstra con cola de prioridad,56.2932
exp_random_5nodos_10ejes.txt,5,10,Bellman-Ford,268.383
exp_random_5nodos_10ejes.txt,5,10,Floyd-Warshall,99.4312
exp_random_5nodos_10ejes.txt,5,10,Dijkstra con cola de prioridad,43.7738
exp_random_5nodos_10ejes.txt,5,10,Bellman-Ford,297.223
exp_random_5nodos_10ejes.txt,5,10,Floyd-Warshall,100.291
exp_random_5nodos_10ejes.txt,5,10,Dijkstra con cola de prioridad,43.6811
